reaction_pair,valid,group_count,score
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,3,1.88
"['C=C', 'CCS']",False,3,1.88
"['C=C', 'CCS']",False,3,1.88
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
"['CCS', 'C=C']",False,1,0.62
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
"['C=C', 'CCS']",False,1,0.62
"['CCS', 'C=C']",True,5,4.17
"['CCS', 'C=C']",True,8,5.0
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,1,0.62
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",True,6,5.0
"['C=C', 'CCS']",False,2,1.25
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
,False,0,0.5
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
"['C=C', 'CCS']",False,2,1.25
